iter	RMSE
473	3330.503688
474	3311.040242
475	3293.348459
476	3281.613019
477	3259.065483
478	3238.38034
479	3218.839792
480	3195.854574
481	3180.396462
482	3175.578207
483	3158.252279
484	3142.431392
485	3122.201721
486	3105.792354
487	3084.88524
488	3061.109627
489	3043.78175
490	3027.380081
491	3022.863257
492	3002.576585
493	2989.392101
494	2969.856689
495	2965.495863
496	2943.21617
497	2926.91424
498	2911.598947
499	2907.351481
500	2893.777494
501	2876.629545
502	2858.768274
503	2839.977992
504	2825.448269
505	2821.38007
506	2804.966388
507	2792.108682
508	2771.397019
509	2752.227975
510	2734.482888
511	2730.62171
512	2716.784281
513	2703.521961
514	2687.298547
515	2675.665636
516	2658.49052
517	2652.862643
518	2637.750796
519	2620.170634
520	2603.788005
521	2600.230883
522	2587.552778
523	2578.251602
524	2561.822291
525	2546.709163
526	2530.067799
527	2513.908226
528	2510.517202
529	2495.053761
530	2489.865503
531	2474.025863
532	2456.343268
533	2441.447375
534	2427.356992
535	2424.155166
536	2412.601773
537	2395.614661
538	2381.427899
539	2364.958202
540	2345.337789
541	2326.158679
542	2311.48303
543	2297.162716
544	2283.162362
545	2268.930257
546	2253.49921
547	2239.731241
548	2227.598987
549	2215.09128
550	2201.806928
551	2187.270577
552	2176.493898
553	2161.453511
554	2148.817436
555	2137.651616
556	2125.064175
557	2110.390945
558	2107.660686
559	2095.72731
560	2081.642684
561	2078.975265
562	2067.070507
563	2064.450082
564	2057.371771
565	2054.7994
566	2043.575373
567	2030.215549
568	2017.134277
569	2010.15218
570	2003.384478
571	2000.918347
572	1994.088274
573	1983.593352
574	1981.182861
575	1970.162154
576	1961.417871
577	1948.610503
578	1942.384231
579	1933.461172
580	1923.385471
581	1908.496156
582	1902.541976
583	1887.676382
584	1876.775292
585	1862.381724
586	1851.490473
587	1849.30254
588	1847.142924
589	1831.187668
590	1829.068522
591	1813.545226
592	1803.260816
593	1791.995734
594	1785.275666
595	1775.447177
596	1765.852694
597	1752.233041
598	1742.665793
599	1733.418495
600	1720.225776
601	1713.397133
602	1699.900724
603	1697.661838
604	1684.186114
605	1671.39469
606	1662.456817
607	1653.800703
608	1641.482524
609	1635.056631
610	1632.955638
611	1618.161923
612	1605.603022
613	1603.563414
614	1593.053145
615	1590.221267
616	1575.968151
617	1574.252792
618	1564.977319
619	1555.021827
620	1541.287967
621	1538.571206
622	1528.631187
623	1518.339739
624	1516.440604
625	1502.979944
626	1494.321085
627	1492.468183
628	1479.552645
629	1477.738186
630	1469.080111
631	1467.298977
632	1456.169821
633	1448.650582
634	1447.136689
635	1437.817193
636	1436.10169
637	1425.54434
638	1424.079899
639	1414.228908
640	1407.007204
641	1405.573485
642	1403.937795
643	1395.326344
644	1392.908991
645	1382.301909
646	1380.716148
647	1375.936647
648	1365.624494
649	1358.912893
650	1357.365862
651	1349.741045
652	1338.243077
653	1336.931096
654	1334.695342
655	1324.630381
656	1314.566898
657	1313.086234
658	1311.626743
659	1307.221541
660	1300.877972
661	1289.960179
662	1280.561892
663	1270.031948
664	1260.424162
665	1258.429348
666	1257.237463
667	1248.256529
668	1239.300459
669	1229.290816
670	1224.779603
671	1216.517848
672	1214.434029
673	1207.073769
674	1199.044865
675	1197.181168
676	1190.035416
677	1188.538809
678	1182.82327
679	1177.218624
680	1175.848129
681	1168.150869
682	1166.209217
683	1159.377922
684	1157.995161
685	1152.589347
686	1146.787778
687	1145.423057
688	1138.172521
689	1136.466701
690	1134.795247
691	1126.993465
692	1125.728539
693	1120.542619
694	1119.249736
695	1111.914066
696	1108.298027
697	1101.383507
698	1093.953132
699	1092.359314
700	1087.72935
701	1086.491419
702	1085.270565
703	1081.913187
704	1076.168828
705	1068.996543
706	1064.573993
707	1062.792197
708	1059.591645
709	1051.84693
710	1050.352785
711	1049.206967
712	1042.028564
713	1033.490073
714	1027.124715
715	1022.00456
716	1013.502753
717	1006.698452
718	998.6123697
719	992.0075697
720	990.6319772
721	989.2837132
722	982.0457607
723	975.8072161
724	968.9428889
725	963.5258702
726	958.4819406
727	950.5005265
728	945.3521669
729	937.9877636
730	931.849887
731	927.3471642
732	922.4115714
733	917.6899865
734	912.887168
735	906.3201794
736	902.1371562
737	896.7940752
738	890.8921256
739	887.0133197
740	885.8089632
741	878.4099476
742	874.1939559
743	870.1006975
744	865.1370891
745	858.0822468
746	853.9948067
747	847.1373342
748	840.9326261
749	837.113711
750	832.418934
751	826.4040782
752	821.8551156
753	816.0016816
754	811.5635124
755	805.2329736
756	799.0630926
757	793.3266795
758	790.7939878
759	783.8471985
760	778.3212716
761	772.6250075
762	767.1312025
763	760.071218
764	754.2369518
765	748.5241275
766	742.7979306
767	737.2596566
768	731.7342867
769	726.2332909
770	721.2102151
771	715.9583967
772	710.6606273
773	708.8872021
774	703.4018731
775	701.6635843
776	696.5422933
777	691.2428468
778	686.3602748
779	681.2303207
780	676.6304152
781	671.8070956
782	666.8964252
783	665.2932871
784	660.5888338
785	655.8152223
786	653.1210687
787	647.2776145
788	644.1341781
789	639.6695235
790	636.8277594
791	630.5243245
792	626.6702456
793	623.4503481
794	619.0120991
795	616.0693397
796	610.420425
797	608.7721455
798	604.4881533
799	601.4341639
800	596.1878283
801	592.2389449
802	590.4011832
803	587.6363839
804	584.7233195
805	581.6980991
806	579.1522423
807	575.1194977
808	572.290948
809	568.866368
810	567.450206
811	563.5048113
812	560.7564309
813	556.8885248
814	554.3769046
815	553.03956
816	548.1425983
817	543.0179993
818	540.2700999
819	538.0653083
820	535.3947635
821	533.5421154
822	529.5182466
823	527.0864483
824	524.1556648
825	522.9121595
826	519.2973387
827	516.0854463
828	512.933523
829	510.3477098
830	506.9004088
831	505.4315053
832	502.9288564
833	499.020691
834	495.8081231
835	492.6898705
836	488.5286593
837	485.4834993
838	482.2009499
839	478.2488406
840	474.5479337
841	470.7229567
842	468.6848519
843	464.6777111
844	461.6400666
845	458.6625142
846	455.6943021
847	453.8280347
848	452.5360518
849	449.285353
850	446.4457685
851	444.3725639
852	440.9684661
853	438.3019495
854	434.610693
855	431.9103325
856	429.121139
857	428.2818142
858	426.5543838
859	425.3781372
860	423.5168173
861	420.2157709
862	417.2884306
863	415.1342229
864	413.0436987
865	410.222913
866	408.7025583
867	406.0517573
868	404.574181
869	403.727945
870	403.0020567
871	402.3493311
872	399.4533254
873	396.8808972
874	395.3139107
875	394.4987269
876	393.3362469
877	392.6416803
878	391.7903152
879	390.947635
880	387.9494961
881	387.3118389
882	386.5425674
883	383.5414009
884	380.6470514
885	379.1301703
886	378.5211372
887	375.6423926
888	373.3371057
889	371.7069278
890	369.1293843
891	367.5414635
892	366.558461
893	364.0296704
894	362.7701154
895	361.7158116
896	359.2618654
897	356.4522556
898	354.5977672
899	352.7898796
900	350.3492557
901	348.2755632
902	346.431671
903	344.2095111
904	342.7446557
905	341.3245643
906	339.8533778
907	337.2052216
908	335.4165998
909	333.7455494
910	332.6589411
911	330.3856816
912	329.4467095
913	328.9029036
914	327.0022505
915	325.0312644
916	323.1757934
917	321.5034592
918	318.7377658
919	316.1590212
920	314.44826
921	313.4272343
922	312.1066016
923	311.4335729
924	309.7577073
925	308.5837361
926	306.9395937
927	305.7998351
928	305.3591237
929	303.7230682
930	302.6183118
931	301.545122
932	299.9389551
933	299.5297822
934	297.9501409
935	297.5466238
936	296.4443715
937	294.8924773
938	294.49793
939	293.4270272
940	291.9022029
941	290.7850317
942	289.657011
943	288.4885745
944	287.3883987
945	286.9710305
946	284.6897312
947	283.22246
948	282.088119
949	279.8931405
950	278.4699342
951	277.2696781
952	275.8737652
953	274.8352749
954	273.7978627
955	273.3845807
956	271.1638042
957	269.7936592
958	268.4476722
959	267.4544795
960	266.3885753
961	265.3812494
962	264.9859008
963	263.4883792
964	262.2068876
965	260.9476402
966	259.9842736
967	258.5441511
968	257.3186774
969	256.3520167
970	255.1161729
971	254.098427
972	253.178674
973	251.8723451
974	250.8808214
975	249.5998486
976	248.5873176
977	247.7214536
978	246.811198
979	245.450184
980	244.5678706
981	243.7039299
982	242.8682188
983	241.5433819
984	240.4206677
985	239.4907702
986	238.440536
987	237.3706193
988	236.3935735
989	235.3743108
990	234.2651342
991	233.2435411
992	232.3097713
993	231.2241537
994	230.1410048
995	229.0616265
996	227.5194059
997	226.2920159
998	225.4132
999	224.4123452
